id,Name,closed,website,website down,twitter,facebook,linkedin,lat,lng,address,city,region,country,description,email,source
89,Codebridge,,www.codebridge.co.za/,,codebridge,,,,,,Cape Town,,South Africa ,,,worldbank
94,CodedinBraam,,http://www.meetup.com/CodedInBraam/,,,,,,,,Johannesburg,,South Africa ,,,worldbank
89,CoLab,,https://colab.com.ng/,,CoLab_kd,,,10.4548808,7.4056928,"kaduna South, Kaduna, Nigeria",Kaduna,Kaduna,Nigeria,"CoLabs is a co-creation space, incubator/accelerator and an innovation space that focuses on skill acquisition, social impact and innovation. ",,afrilabs
,Comores Coworking,,http://www.comorescoworking.com,,comwork_km,http://Com&#039,Work,,,,"Boulevard Karthala, Moroni, Comores",,,,contact@comorescoworking.com,afric'innov
,Congo Business Network,,http://www.congobusinessnetwork.org,,CongoBizNetwork,,,,,"Concession Procoki, avenue de L&#039;OUA, Kinshasa, Democratic Republic of the Congo",,,,,,afric'innov
,CONNECT’INNOV,,https://connect-innov.com/,,,,,,,,,,,contact@connect-innov.com,afric'innov,
,Couveuse PAPRICAI / Association Heinrich Klose,,http://couveuse-papricai.org/,,papricai,https://www.facebook.com/papricai/,,,,"Lomé, quartier Avédji, Carrefour Margot, Lomé, Togo",,,,"En 2014, l’Association Heinrich Klose lance la couveuse PAPRICAI, Plateforme pour l’Aide aux Projets et Initiatives de Création d’Activités Innovantes, pour répondre aux besoins de structuration des filières industrielles du secteur culturel et créatif.Dans la perspective de développer un environnement de travail propice aux professionnels du secteur culturel et créatif, l’Association Heinrich Klose a développé un dispositif d’accompagnement global favorisant synergies, mise en réseau et échanges interdisciplinaires. Ainsi est né le dispositif EDOU, outil de développement de connaissances et de compétences sur l’entreprenariat culturel et créatif. EDOU est lancé en septembre 2016 et se décline en six (06) volets : espaces de résidences et de créations, équipements bureautiques mutualisés, espace coworking, hébergements physiques modulables et juridique, salle de formations séminaires, micro-crédit (fonds de développement de l’entrepreneuriat créatif).",contact@couveuse-papricai.org,afric'innov
,CREATEAM,,https://www.createam.ml/,,createam2015,https://web.facebook.com/Lincubateur-Createam-927943447313058/?_rdc=1&amp,_rdr,,,,,,,,contact@createam.ml,afric'innov
5,CTIC Dakar,,http://www.cticdakar.com/fr/,,cticdakar,https://www.facebook.com/cticdakar/,,14.6691984,-17.4306432,"Rue Berenger Feraud, Dakar, Senegal",Dakar,,Senegal,"CTIC Dakar is the first incubator and accelerator devoted to IT entrepreneurs in Francophone Sub-Saharan Africa. Registered as a non-profit, CTIC is an entrepreneurial public-private partnership initiated by the private sector and supported by the government of Senegal, the World Bank / infoDev, GIZ, the Center for Enterprise Development of the EU and Orange (leading telco in West Africa). ",contact@cticdakar.com,afrilabs
,CUBE,,http://www.cubenter.com,x,cube_togo,https://www.facebook.com/SAEICUBE/,,,,"BP 4556, togo",,,,"L'accent est mis sur les projets dans les biotechnologies (Agriculture et transformation agroalimentaire, solutions innovantes en biotechnologies médicales, environnementales et industrielles). Toutefois nous sommes prêts à accompagner d'autres projets si le volet innovation est prouvé (Inclusion financière, énergie, services de base) et qui répondent à un problème identifié dans la communauté.",equipecube@gmail.com,afric'innov
70,Cyclotron R�union Indian Ocean (CYROI GIP),,http://www.cyroi.fr/category/pepiniere-entreprise/,,,,,,,,Saint Denis ,,Reunion,,,worldbank
102,Diaspo Hub,,,,,https://www.facebook.com/DiaspoHub/,https://ng.linkedin.com/company/ddhubng,12.6250651,-7.98821799999996,"Ambassade d'Allemagne, Rue 14",Bamako,District de Bamako,Mali,"Diaspo Hub is an incubator and accelerator  that are focused on skill acquisition, social impact and innovation.",secretariat@diaspohub.com,afrilabs
86,Digital Development Hub,,https://ddhub.org.ng,x,,,https://ng.linkedin.com/company/ddhubng,12.0049303,8.51169030000006,"Kano City, Kano, Nigeria",Kano,Kano,Nigeria,"Digital Hub is a co-working space, incubation/acceleration and an innovation center that focuses on social impact, skill acquisition and job creation. ",,afrilabs
,Dira Partners,,http://www.dirapartners.com,,,,,,,"80 Résidences Hacienda, dakar , Sénégal",,,,,contact@dirapartners.com,afric'innov
43,dLab,,http://www.dlab.or.tz/,,dlabtz,,,-6.8234286,39.2680669,"Tanzania Breweries, Msimbazi Street, Dar es Salaam, Tanzania",Dar es Salaam,,Tanzania,"dLab began operations in March, 2016 and was legally registered in the same month with a current staff strength of 35.  ",,afrilabs
,DLCOWORKING (DLC),,http://www.dlcoworking.com,,dlcoworking,https://www.facebook.com/DLCoworking-201097337076733/,,,,"Av Kawar, Derrière maternité Yantala ,  Niamey",,,,,contact@dlcoworking.com,afric'innov
81,DoniLab,,http://www.donilab.net/,x,,https://www.facebook.com/donilab.officiel/,,12.6363899,-7.99483789999999,SOTUBA,Bamako,District de Bamako,Mali,"DoniLab is an innovation hub that is focused on social impact, job creation and innovation.",info@donilab.net,afrilabs
105,DTBI-Dar Tekinohama Business Incubator ,,http://www.teknohama.or.tz/,,,,,,,,Dar es Salaam,,Tanzania,,,worldbank
91,"Eastern Cape Information--Actually named, Eastern Cape Information Technology Initiative",,http://www.eciti.co.za,,ecitiza,,,,,,East London,,South Africa ,,,worldbank
52,Ebene Accelerator,,http://ebeneaccelerator.mu,,ebn_accelerator,,,,,,Ebene Cybercity,,Mauritius,,,worldbank
,ECOLIA Labs,,http://ecolialabs.org,,ecolialabs,https://www.facebook.com/EcoliaLabs/,,,,"Ecolia Labs, Unnamed Rd, Yaoundé, Cameroun",,,,"À travers cet incubateur, nous aidons les Jeunes et les Femmes à s’approprier le potentiel innovant des technologies modernes afin de stimuler leur créativité, et utiliser le numérique pour proposer des solutions innovantes et frugales aux problèmes de notre société.",contact@ecolialabs.org,afric'innov
62,Eldo Hub Innovation,,https://www.eldohub.co.ke/,,eldohub,,,-0.2849853,36.0693113,"Kenyatta Avenue, Nakuru, Kenya",Nakuru,Nakuru County,Kenya,Eldo Hub Innovation,,afrilabs
,Emergence Capital / DiaspoLab,,http://www.emergence.africa,,,,,,,"167 avenue Lamine Guèye x Place Soweto Immeuble Rivonia Tower 11ème étage, Dakar-Sénégal",,,<b></b><b></b>,ncamara@emergence.africa,afric'innov,
,Energy Generation,,https://www.energy-generation.org/,,EnergyGenAfrica,https://www.facebook.com/EnergyGeneration,,,,"Hédzranawoé, 2e Arrondissement, Lomé (Awoudja) Lomé, Togo,  Lomé",,,,"Energy Generation est une organisation panafricaine qui encourage les jeunes Africains à relever les défis les plus pressants de leur génération (énergie, agriculture, santé, etc.) à travers l'entrepreneuriat et la technologie.     <br>Energy Generation vise à soutenir et à promouvoir les innovations technologiques et entrepreneuriales afin d'identifier, de développer et de diffuser largement les solutions pratiques « made in Africa ».     <br><br>Mais avant tout, Energy Generation est une plate-forme centrée sur l'humain qui offre aux individus des possibilités de libérer et d’exprimer toute leur créativité.<br>",contact@energy-generation.org,afric'innov
67,Enspire Incubator,,http://enspire.org.ng/wp/about-us/,,,,,,,,Abuja,,Nigeria,,,worldbank
6,enspire Incubator,,http://www.enspire.org.ng/,,enspireatv,,,9.0764785,7.39857400000005,"Abuja, Federal Capital Territory, Nigeria",Abuja,Federal Capital Territory,Nigeria,"enspire is amongst the major initiatives of Abuja Technology Village Free Zone Company (ATV). It seeks to stimulate economic growth and sustainable job creation in Nigeria through innovation, entrepreneurship, enterprise development and technology commercialization by providing training, mentoring, networking opportunities, infrastructure and access to finance among others. ",,afrilabs
7,EtriLabs,,http://www.etrilabs.com/,,EtriLabs,https://www.facebook.com/etrilabscotonou/,,6.3628451,2.42312849999996,"Rue 403, Cotonou, Benin",Cotonou,Littoral Department,Benin,"EtriLabs is the first and only technology hub in Cotonou (Benin). It offers co-working, start-up incubation, training and outsourcing services. With a particular focus on economic development, EtriLabs helps NGOs, businesses and government use technology to achieve their goals. Local developers and entrepreneurs gravitate around the hub for resources and opportunities. ",,afrilabs
,Expert Labs Mali,,http://www.expertlabsmali.com,x,,https://www.facebook.com/ExpertLabsBamako/?ref=bookmarks,,,,"Bamako, Mali",,,Offrir des opportunités de développement économique aux jeunes maliens à travers le secteur privé  La création d’un bon environnement de développement des entreprises jeunes au Mali  La facilitation de l’interconnexion des entrepreneurs au Mali et dans le monde   ,expertlabsmali@gmail.com,afric'innov,
20,Fab Lab Egypt,,http://fablab-egypt.com/,,,,,,,,Cairo,,Egypt,,,worldbank
46,FabLab Nairobi,,www.fablab.uonbi.or.ke/#,,fablabnairobi,,,,,,Nairobi,,Kenya,,,worldbank
59,Fablab Namibia,,http://www.fablabnamibia.org/,,,,,,,,Windhoek,,Namibia,,,worldbank
,FACTORY 619,,https://factory619.com,x,,https://www.facebook.com/factory619,,,,,,,,,hedi@factory319.com,afric'innov
,,,,,,,,,,,,,,,,
18,Flat6Labs,,http://www.flat6labs.com,,Flat6LabsFR,,,,,,Cairo,,Egypt,,,worldbank
66,Focus Hub,,http://focushub.net/,x,,,,,,,Port Harcourt,,Nigeria,,,worldbank
68,Founders Hub,,http://foundershub.xyz/holder/,,foundershubng,,,8.9847995,4.56244259999994,"Kwara, Nigeria",,Kwara,Nigeria,"Founders Hub is an innovation hub that is focused on skill acquisition, youth engagement and innovation.",,afrilabs
32,Ghana Multimedia Incubator Centre,,http://gmic.gov.gh/,x,,,,,,,Accra,,Ghana,,,worldbank
,Ghiyada Africa,,http://www.ghiyadaafrica.org,x,,https://www.facebook.com/ghiyadaafrica/,,,,"adidogome la pampa ,  lomé",,,,,ghiyadaafrica@gmail.com,afric'innov
55,Girls in Tech (GIT)-Morocco Chapter,,http://morocco.girlsintech.org/,,girlsintech,,,,,,Casablanca,,Morocco,,,worldbank
112,Grameen Foundation AppLab,,http://grameen.skipso.us/en/page/grameen-foundation-applab-in-action,,,,,,,,Kampala,,Uganda,,,worldbank
80,Green Innovation Hub (GiHUB),,http://www.gih.space/,x,,https://www.facebook.com/GiHUBZim/,,-17.8251657,31.03351,"Harare, Zimbabwe",Harare,Harare Province,Zimbabwe,"GiHUB is an innovation hub that is focused on social impact, job creation and innovation and get most of their funds from Africa. ",,afrilabs
86,Grindstone,,,,,,,,,E5B Century Square Century City Cape Town,Cape Town,Western Cape South Africa,South Africa,,,worldbank
,Groupe ISM,,https://www.ismincub.com/,,,https://fr-fr.facebook.com/GroupeISM/,,,,,,,,,incubateurs@ism.edu.sn,afric'innov
39,GrowthHub,,http://www.thegrowthhub.com/,x,,,,,,,Nairobi,,Kenya,,,worldbank
30,gSpace,,http://gspace.addhen.org/,,,,,,,,Accra,,Ghana,,,worldbank
,Guerra Tech Hub,,https://guerrahub.com,,guerra_hub,https://www.facebook.com/GuerraHub,,,,"Banikanni, rue de la pharmacie du Campus ,  Parakou",,,,"Avec Guerra, nous souhaitons développer une communauté, un pôle social, durable, multiculturel et intergénérationnel autour des enjeux du numérique. A cet effet, nous avons mis en place 3 grands programmes de développement et offrons de multiples services pour soutenir notre communauté technologique.",contact@guerrahub.com,afric'innov
8,Habaka,,,,,https://web.facebook.com/habakamg?_rdr,,-18.9078944,47.5287605,"Lalana Rainandriamampandry, Antananarivo, Antananarivo Province, Madagascar",Antananarivo,Antananarivo Province,Madagascar,"Habaka is a technology innovation space that brings together academicians, the private sector and investors to support the tech community and entrepreneurship. Its ambition is to hack local problems with ingenious technology solutions. ",,afrilabs
,Hadina Rimtic,,http://www.hadinarimtic.com,x,HadinaRIMTIC,https://www.facebook.com/hadinarimtic/about/?ref=page_internal,,,,"Nouakchott, Nouakchott, Mauritanie",,,,,contact@hadinarimtic.com,afric'innov
23,Hapa Space,,http://www.haspace.com/,x,,,,6.6934285,-1.61401030000002,"Kumasi Ghana @ 50 Jubilee Park, Kumasi, Ghana",Kumasi,Ashanti Region,Ghana,"Hapaweb Solutions is an Information Technology (IT) company based in Kumasi, Ghana. As an IT company the focus is centred on the application of information technology both within the business and individual context. The core areas of operation within the IT industry are in the areas of Web and Mobile applications. ",,afrilabs
28,Hive Colab,,http://hivecolab.org/,,hivecolab,,,0.3355622,32.582343,"Uganda National Museum, Kampala, Uganda",Kampala,Central Region,Uganda,"The Hive Colab is a community-owned, collaborative and co-working space for Uganda’s technology based community",,afrilabs
100,Honode Hub,,https://honode.org/,,Honodehub,,,6.2330852,0.996561700000029,"Ho - Denu Road, Dzodze, Ghana",Dzodze,Volta Region,Ghana,"Honode Hub is an incubator and accelerator  that are focused on skill acquisition, job creation and innovation.  ",,afrilabs
36,Hub Accra,,www.hubaccra.com,,impacthubaccra,,,,,,Accra,,Ghana,,,worldbank
116,Hypercube Hub,,http://www.hypercubehub.co/en,,hypercubehub,,,,,,Harare,,Zimbabwe,,,worldbank
50,I-Hub Malagasy,,http://www.i-hub.mg/,,,,,,,,Antananarivo,,Madagascar,,,worldbank
,I&F Entrepreneuriat,,http://ifentrepreneuriat.org/,x,,,,,,"23, Avenue Kolo, Quartier Noki, Mbanza-Ngungu, Bas-Congo, RD Congo",,,,"I&Fentrepreneuriat est riche d’une expérience de 10 ans (2007 – 2017) dans l’accompagnement par incubation d’entreprise. Il est le premier incubateur d’entreprises en République Démocratique du Congo.   I&Fentrepreneuriat est riche d’au-moins 148 entreprises dont 30 créées par des jeunes de moins de 25 ans exerçant pour 80% dans l’agroalimentaire, 5% dans la haute technologie, 5% dans la production des matériaux de construction et 10% dans les technologies de l’information et la communication.   Ces entreprises sont riches de 86 produits innovants. I&Fentrepreneuriat compte 25 coaches très jeunes.   I&Fentrepreneuriat a développé une pédagogie d’accompagnement basée sur le modèle TCC-GRP pour aider ses porteurs de projets à créer leurs entreprises.    ",contact@ifentrepreneuriat.org,afric'innov
44,iBiz Africa,,http://www.ibizafrica.co.ke/,,iBizAfrica,,,,,,Nairobi,,Kenya,,,worldbank
40,iBridge,,http://www.ibridgehub.com/,x,,,,9.081999,8.67527700000005,Nigeria,,,Nigeria,"iBridge began operation in October, 2012 and was legally registered in the same year. It is a co-creation hub that focuses on skill acquisition, social impact and innovation.",,afrilabs
9,Ice Addis,,https://www.iceaddis.com/,,iceaddis,,,9.0118214,38.7328845,"Chad St, Addis Ababa, Ethiopia",Addis Ababa,Addis Ababa,Ethiopia,"iceaddis is a self-sufficient business incubation and innovation community center aimed at supporting Ethiopia’s economic growth by tightening the constructive interaction between researchers, developers, entrepreneurs, creative workers and customers and by promoting local technological solutions and solution providers to the public.   ",,afrilabs
,Creative Hub Ethiopia,,https://creativehub.et/,,creativehubet,,,,,,,,,"Creative Hub Ethiopia supports creative innovators, designers, and SMEs in various fields by deepening understanding of global design and industrial concepts.",,
56,Ice Alex,,http://icealex.com/,,icealexHub,,,30.7622959,29.6962677,"Alexandria Governorate, Egypt",,Alexandria Governorate,Egypt,"Ice Alex is an ever-growing international network of hubs and nodes in Cairo & Alexandria (Egypt), Addis Ababa (Ethiopia) and Weimar (Germany). ",info@icealex.com,afrilabs
19,IceCairo,,http://icecairo.com/,,,,,,,,Cairo,,Egypt,,,worldbank
67,iCODE,,http://icodegh.com/,,icodeteam,,,4.9028537,-1.79162220000001,"Apollo, Takoradi, Ghana",Takoradi,Western Region,Ghana,"iCODE is an innovation hub that is focused on skill acquisition, youth engagement and innovation.  ",,afrilabs
35,iDEA Hub,,http://www.idea-nigeria.org/,x,,,,9.081999,8.67527700000005,Nigeria,,,Nigeria,iDEA (Information Technology Developers Entrepreneurship Accelerator) provides essential support to entrepreneurs to build software skills.  ,,afrilabs
47,iHub,,https://ihub.co.ke/,,iHub,,,-0.023559,37.906193,Kenya,,,Kenya,"iHub is Nairobi’s innovation hub for the technology community and serve as an open space for the technologists, investors, tech companies and hackers   ",,afrilabs
29,iLab Africa,,http://www.ilabafrica.ac.ke/,,ilabafrica,,,-1.2882626,36.8137592000001,"Kenyatta Avenue, Nairobi, Kenya",Nairobi,Nairobi County,Kenya,@iLabAfrica is a research centre under the Faculty of Information Technology at Strathmore University established to spearhead ICT research.,,afrilabs
10,iLab Liberia,,http://ilabliberia.org/,,iLabLiberia,,,6.306069,-10.7988739,"Camp Johnson Rd, Monrovia, Liberia",Monrovia,Montserrado,Liberia,"iLab Liberia is a non-profit computer laboratory providing access to cutting-edge technology, expert IT assistance and a community leveraging technology for the good of Liberia. iLab offers free trainings in contextually relevant ICTs that are open to the public. iLab also hosts tech events and serves as a meet-up space for a range of tech enthusiasts and professionals. ",,afrilabs
15,Imani Hub,,http://www.imanihub.net/,x,,,,,,,Kinshasa,,DRC,,,worldbank
,IMMEDIATE CONSULTING & Cle Sarl,,http://www.immediate-consulting.org,,immediateconsu1,https://www.facebook.com/immediateconsulting/,,,,"89, avenue KANKONTWE, BEL&#039;AIR, KAMPEMBA ,",,,,info@immediate-consulting.com,afric'innov,
88,Impact Amplifier,,https://www.impactamplifier.co.za/,,ImpactAmplifier,,,,,,Johannesburg,,South Africa ,,,worldbank
