"44","Buni Lab","-6.369028","34.888822000000005","Tanzania","","","Tanzania","Buni is a technology hub that fosters innovation and technology entrepreneurship through capacity building & mentoring programs.  "
"45","C4DLab","-0.023559","37.90619300000003","Kenya","","","Kenya","C4DLab is a research & development, prototyping and innovation startup incubation lab housed at the School of Computing & Informatics.  "
"46","BitHub","-1.3009903","36.81423270000005","Kenya Road, Nairobi, Kenya","Nairobi","Nairobi County","Kenya","BitHub Africa is a commercial Blockchain Accelerator that is driving the adoption of blockchain technology and solutions across Africa."
"47","iHub","-0.023559","37.90619300000003","Kenya","","","Kenya","iHub is Nairobi’s innovation hub for the technology community and serve as an open space for the technologists, investors, tech companies and hackers.  "
"48","kLab","-1.940278","29.873887999999965","Rwanda","","","Rwanda","kLab (knowledge Lab) is a unique open technology hub in Kigali where students, entrepreneurs and innovators come to work.  "
"49","Sote hub","-0.023559","37.90619300000003","Kenya","","","Kenya","Sote hub began operations in November, 2015 and was legally registered in December, 2015 with a staff strength of 5. They are an innovation hub that run incubation and acceleration programmes focused on job creation and youth engagement. Its major source of income comes from Europe"
"50","The Innovation Village","1.373333","32.290275000000065","Uganda","","","Uganda","Kampala began operations in December, 2015 and was legally registered in July, 2015 with a staff strength of 4.  "
"51","The Mawazo Innovation Hub","0.3119942","32.584463400000004","Uganda House, Kampala, Uganda","Kampala","Central Region","Uganda","The Mawazo Innovation Hub, a division of NFT Consult, was established to support emerging Next Generation ICT businesses .  "
"52","The Innovation Hub","-30.559482","22.937505999999985","South Africa","","","South Africa","The Innovation Hub "
"53","The Tech Village","-19.015438","29.154856999999993","Zimbabwe","","","Zimbabwe","The Tech Village began operations in May, 2016 and was legally registered in September, 2016 with a staff strength of 5.  "
"54","The Bandwidth Barn","-30.559482","22.937505999999985","South Africa","","","South Africa","Cape Town’s The Bandwidth Barn (TheBarn) enables people to start successful businesses, develop great products and help change the world.  "
"55","inCUBE8","-13.254308","34.30152499999997","Malawi","","","Malawi","inCUBE8 Malawi began operation in February, 2016 and was officially registered on the same day. They are an innovation hub that run incubation and acceleration programmes targeted at youth engagement and job creation.  "
"56","Ice Alex","30.7622959","29.69626770000002","Alexandria Governorate, Egypt","","Alexandria Governorate","Egypt","Ice Alex is an ever-growing international network of hubs and nodes in Cairo & Alexandria (Egypt), Addis Ababa (Ethiopia) and Weimar (Germany). "
"57","The District","26.820553","30.802498000000014","Egypt","","","Egypt","The District is an inspiring coworking space for game-changing entrepreneurs and freelancers with social capital.  "
"58","Lumumba Labs","-4.038333000000001","21.758663999999953","DR Congo","","","Democratic Republic of the Congo","Lumumba Labs began operation in October, 2014, and was officially registered in May, 2015 with a staff strength of 4."
"59","Centre d'innovation de Lubumbashi Democratic Republic of Congo","0.4990124000000001","29.452753799999982","Beni, North-Kivu, Democratic Republic of the Congo","Beni","North-Kivu","Democratic Republic of the Congo","Centre d'innovation de Lubumbashi Democratic Republic of Congo"
"60","iRise Somalia","5.152149","46.19961599999999","Somalia","","","Somalia","iRise Somalia"
"61","Kumasi Hive","7.946527","-1.0231939999999895","Ghana","","","Ghana","Kumasi Hive"
"62","Eldo Hub Innovation","-0.2849853000000001","36.06931129999998","Kenyatta Avenue, Nakuru, Kenya","Nakuru","Nakuru County","Kenya","Eldo Hub Innovation"
"63","CentreSwahilipot hub","0.5157743000000001","35.274749499999984","Kenyatta Street, Eldoret, Kenya","Eldoret","Uasin Gishu County","Kenya","CentreSwahilipot hub"
"64","Nairobi Garage","-0.023559","37.90619300000003","Kenya","","","Kenya","Nairobi Garage"
"65","iCode Tentmaker","5.563266700000001","-0.19130519999998796","Ghana Institute Of Journalism, Gamel Abdul Nasser Avenue, Accra, Ghana","Accra","Greater Accra Region","Ghana","iCode Tentmaker"
"66","Olotu Square","6.6623005","3.2833564000000024","Nigeria Newspapers, Lagos, Nigeria","Lagos","Lagos","Nigeria","Olotu Square"
"67","iCODE","4.9028537","-1.7916222000000062","Apollo, Takoradi, Ghana","Takoradi","Western Region","Ghana","iCODE is an innovation hub that is focused on skill acquisition, youth engagement and innovation.  "
"68","Founders Hub","8.9847995","4.56244259999994","Kwara, Nigeria","","Kwara","Nigeria","Founders Hub is an innovation hub that is focused on skill acquisition, youth engagement and innovation."
"69","Cairo Hackerspace","30.0444196","31.23571160000006","Cairo, Egypt","Cairo","Cairo Governorate","Egypt","Cairo Hackerspace is an innovation hub that focuses on social impact and innovation.   "
"70","Sylabs","28.033886","1.659626000000003","Algeria","","","Algeria","Sylabs is an innovation hub that is focused on social impact, skill acquisition and innovation."
"71","Sahara Accelerator","9.0764785","7.398574000000053","Abuja, Nigeria","Abuja","Federal Capital Territory","Nigeria","Aiivon Hub is an innovation hub that is focused on social impact, job creation, skill acquisition, youth engagement and innovation. "
"72","Uplift Hub","10.3009641","9.823653299999933","Bauchi, Nigeria","Bauchi","Bauchi","Nigeria","Uplift Hub is an innovation hub that is focused on social impact, job creation, skill acquisition, youth engagement and innovation."
"73","Nairobi Garage","-1.2920659","36.82194619999996","Nairobi, Kenya","Nairobi","Nairobi County","Kenya","Nairobi Garage is a co-working space that is focused on social impact and professional solutions."
"74","Softstart Business and Technology Incubator","-26.2041028","28.047305100000017","Johannesburg, South Africa","Johannesburg","Gauteng","South Africa","Softstart Incubator is an innovation hub that is focused on social impact, job creation and innovation. "
"75","Impact Hub Bamako","12.6392316","-8.002889200000027","Bamako, Mali","Bamako","Bamako Capital District","Mali","Impact Hub Bamako is an innovation hub that is focused on job creation, youth engagement and innovation"
"76","Innovation Growth Hub","5.430892099999999","7.524724300000003","Abia, Nigeria","","Abia","Nigeria","Innovation Growth Hub is an innovation hub that is focused on job creation, skill acquisition and innovation. "
"77","NexGen Technology Center","3.848032500000001","11.502075200000036","Yaounde, Cameroon","Yaounde","Centre","Cameroon","NexGen is an innovation hub that is focused on skill acquisition, youth engagement and innovation."
"78","Swahilipot Hub","-4.0434771","39.6682065","Mombasa, Kenya","Mombasa","Mombasa County","Kenya","Swahilipot Hub is an innovation hub that is focused on social impact, job creation, skill acquisition, youth engagement and innovation. "
"79","ALFTech Hub","6.692744599999999","3.2364853999999923","Ota, Nigeria","Ota","Ogun State","Nigeria","ALFTech Hub is  an innovation hub that is focused on social impact, job creation, skill acquisition, youth engagement and innovation. "
"80","Green Innovation Hub (GiHUB)","-17.8251657","31.03350999999998","Harare, Zimbabwe","Harare","Harare Province","Zimbabwe","GiHUB is an innovation hub that is focused on social impact, job creation and innovation and get most of their funds from Africa. "
"81","DoniLab","12.6363899","-7.994837899999993","BAMAKO, Bamako, Mali","Bamako","District de Bamako","Mali","DoniLab is an innovation hub that is focused on social impact, job creation and innovation."
"82","Roothub Accelerator Systems","4.876463","8.085692999999992","Uyo Airport, Uyo, Nigeria","Uyo","Akwa Ibom","Nigeria","Roothub is a co-creation space  that is focused on social impact, job creation and innovation. "
"83","Tentmaker","5.6004186","-0.1834115000000338","accra, Ghana Airways Avenue, Accra, Ghana","Accra","Greater Accra Region","Ghana","Tentmaker is a co-creation space  that is focused on social impact, job creation and innovation.  "
"84","Y-BECA Youth Entrepreneurship Foundation","-26.20222","28.04938800000002","Johannesburg Sewing Centre, Pritchard Street, Hillbrow, Johannesburg, South Africa","Johannesburg","Gauteng","South Africa","Y-BECA is an incubator and accelerator that is focused on social impact, job creation and innovation"
"85","BabyLab","5.317355600000001","-4.019064399999934","Cõte d'Ivoire Tourisme, Abidjan, Côte d'Ivoire","Abidjan","Abidjan","Côte d'Ivoire","BabyLab is an innovation center that is focused on social impact, youth engagement and innovation."
"86","Digital Development Hub","12.0049303","8.511690300000055","Kano City, Kano, Nigeria","Kano","Kano","Nigeria","Digital Hub is a co-working space, incubation/acceleration and an innovation center that focuses on social impact, skill acquisition and job creation. "
"87","Innovate Ventures","9.562389","44.07701339999994","Hargeisa, Somalia","Hargeisa","Woqooyi Galbeed","Somalia","Innovate Ventures is an open space, co-working space, incubation/acceleration and an innovation center that focuses on job creation, social impact and innovation."
"88","Mashinani Hub","-0.6708163","34.777100099999984","Kisii Country Club, Kisii, Kenya","Kisii","Kisii County","Kenya","Mashinani Hub is an innovation center that is focused on social impact, job creation and innovation."
"89","CoLab","10.4548808","7.405692799999997","kaduna South, Kaduna, Nigeria","Kaduna","Kaduna","Nigeria","CoLabs is a co-creation space, incubator/accelerator and an innovation space that focuses on skill acquisition, social impact and innovation. "
"90","Tribe","6.2757656","7.006839300000024","Anambra, Nigeria","","Anambra","Nigeria","Tribe is an innovation centre that is focuses on skill acquisition, social impact and innovation.  "
"91","Passion Incubator","6.452403899999999","3.39685350000002","Lagos Island, Lagos, Nigeria","Lagos","Lagos","Nigeria","Passion Incubator is an innovation hub that focuses on job creation, skill acquisition and innovation. "
"92","Wired Startups","31.791702","-7.092620000000011","Morocco","","","Morocco","Wired Startups is an Incubator/Accelerator that is focused on job creation, skill acquisition and innovation."
"93","Olotu Square","4.815553999999999","7.049844200000052","Port Harcourt, Nigeria","Port Harcourt","Rivers","Nigeria","Olotu Square is an innovation center focused on social impact, youth engagement and innovation. "
"94","Injini","-33.9248685","18.424055299999964","Cape Town, South Africa","Cape Town","Western Cape","South Africa","Injini is an incubator and accelerator that is focused on social impact, job creation and innovation. "
"95","Shinga Entrepreneurship and Learning Hub","-17.8330168","31.085587900000064","Mutare Road, Harare, Zimbabwe","Harare","Harare Province","Zimbabwe","Shinga Hub is a coworking space that is focused on job creation, skill acquisition and innovation"
"96","Civic Foundation for Innovation","9.0764785","7.398574000000053","Abuja, Nigeria","Abuja","Federal Capital Territory","Nigeria","Civic Innovation hub is a co-creation space and innovation center that is focused on social impact, youth engagement and innovation. "
"97","Kianda Hub","-8.824925499999997","13.227983300000005","ANGOLA LNG, Rua Amílcar Cabral, Luanda, Angola","Luanda","Luanda","Angola","Kianda Hub is an open space, coworking, co creation space and innovation center that focuses on social impact, job creation and innovation. "
"98","Iris Hub","-1.9705786","30.10442880000005","Kigali, Rwanda","Kigali","Kigali City","Rwanda","Iris Hub is an incubator and accelerator focused on job creation, youth engagement and innovation. "
"99","Kivu Hub","-4.391989299999999","15.31278240000006","Bukavu, Kinshasa, Congo-Kinshasa","Kinshasa","Kinshasa","Democratic Republic of the Congo","Kivu Hub is an incubator and accelerator that are focused on social impact, job creation and innovation. "
"100","Honode Hub","6.2330852","0.9965617000000293","Ho - Denu Road, Dzodze, Ghana","Dzodze","Volta Region","Ghana","Honode Hub is an incubator and accelerator  that are focused on skill acquisition, job creation and innovation.  "
"101","Incubme Algeria","28.033886","1.659626000000003","Algeria","","","Algeria","Incubme is an incubator and accelerator  that are focused on skill acquisition, job creation and innovation."
"102","Diaspo Hub","12.6250651","-7.988217999999961","Ambassade d'Allemagne, Rue 14, Bamako, Mali","Bamako","District de Bamako","Mali","Diaspo Hub is an incubator and accelerator  that are focused on skill acquisition, social impact and innovation."
"103","iZone Hub","-17.8118106","31.08950290000007","Zimbabwe Cricket, Maiden Drive, Harare, Zimbabwe","Harare","Harare Province","Zimbabwe","iZone Hub is an incubator and accelerator that are focused on skill acquisition, job creation and innovation."
"104","Altoufikh International","12.1348457","15.055741500000067","N'Djamena, Chad","N'Djamena","N'Djamena","Chad","Altoufikh International is an open space focused on social impact, youth engagement and innovation. "
